,Player,Comb,Asst,Solo,Sck
6,Patrick Peterson,45,11,33,0.0
7,Elijah Riley,45,22,20,1.0
8,Josh Sweat,45,26,17,7.5
9,Marcell Harris,44,20,22,1.0
10,Malik Hooker,44,14,28,0.0
11,Sione Takitaki,44,23,20,0.0
12,Genard Avery,43,22,19,1.0
13,Angelo Blackson,43,19,22,2.5
14,Sean Murphy-Bunting,43,13,26,0.0
15,Ross Cockrell,43,14,28,0.0
16,Dane Cruikshank,43,13,29,0.0
17,Frankie Luvu,43,17,21,1.5
18,Steven Means,43,19,15,0.0
19,D.J. Reader,43,21,18,2.0
20,Jarran Reed,43,20,20,2.5
21,Malik Reed,43,19,22,5.0
22,Asante Samuel Jr.,43,10,31,0.0
23,Denzel Ward,43,9,33,0.5
24,Alohi Gilman,42,14,24,0.0
0,Dean Lowry,42,18,20,5.0
1,Emmanuel Moseley,42,9,31,0.0
2,Jaelan Phillips,42,19,20,8.5
3,P.J. Williams,42,6,35,2.0
4,Mack Wilson,42,16,24,0.0
5,Chris Board,41,23,18,0.0
6,Derrick Brown,41,14,24,3.0
7,Myles Bryant,41,13,25,1.0
8,Dane Jackson,41,8,31,0.0
9,Emmanuel Ogbah,41,15,19,9.0
10,Ed Oliver,41,12,24,4.0
11,Davion Taylor,41,17,23,0.0
12,Tre'Davious White,41,14,23,0.5
13,Greedy Williams,41,6,34,0.0
14,Deatrich Wise,41,13,21,3.0
15,Deon Bush,40,9,28,0.0
16,Tevaughn Campbell,40,9,28,0.0
17,Zaire Franklin,40,19,17,0.0
18,Kristian Fulton,40,10,29,0.0
19,Chandler Jones,40,10,27,10.5
20,David Long,40,5,31,0.0
21,Kevin Minter,40,14,24,1.0
22,Uchenna Nwosu,40,16,17,5.0
23,Andrew Sendejo,40,11,24,0.0
24,Tarell Basham,39,18,17,3.5
0,Brandon Copeland,39,16,19,0.0
1,Marcus Davenport,39,16,21,9.0
2,Carlton Davis,39,6,31,0.0
3,Tre Flowers,39,10,23,0.0
4,Trevis Gipson,39,16,21,7.0
5,C.J. Henderson,39,8,29,0.0
6,William Jackson,39,3,34,0.0
7,Alim McNeill,39,24,11,2.0
8,Xavier Rhodes,39,7,29,0.0
9,Sheldon Richardson,39,15,18,2.5
10,Dalvin Tomlinson,39,22,11,2.5
11,DeShawn Williams,39,22,15,1.0
12,Markus Bailey,38,17,17,0.5
13,Henry Black,38,10,26,0.0
14,Jonathon Cooper,38,16,18,2.5
15,Samson Ebukam,38,17,20,4.5
16,Joe Haden,38,12,20,0.0
17,Antonio Hamilton,38,7,29,0.0
18,Johnathan Hankins,38,23,14,0.0
19,Danielle Hunter,38,15,22,6.0
20,Matthew Ioannidis,38,22,14,2.5
21,DaQuan Jones,38,19,11,1.0
22,Sebastian Joseph-Day,38,15,16,3.0
23,Derrick Nnadi,38,17,19,3.0
24,Tre Norwood,38,6,26,0.0
0,Quincy Roche,38,15,15,2.5
1,Jaylon Smith,38,12,24,1.0
2,Preston Smith,38,13,22,9.0
3,Keith Taylor,38,7,29,0.0
4,Robert Alford,37,7,29,0.0
5,Dorance Armstrong,37,14,17,5.0
6,Cody Barton,37,14,18,0.0
7,Jadeveon Clowney,37,13,20,9.0
8,Chris Harris,37,7,28,0.0
9,Justin Jones,37,18,16,3.0
10,Greg Newsome II,37,4,30,0.0
11,Roy Robertson-Harris,37,16,17,3.0
12,Duke Shelley,37,7,29,0.0
13,Darrell Taylor,37,9,22,6.5
14,Oren Burks,36,12,20,0.5
15,Dante Fowler Jr.,36,15,16,4.5
16,William Gholston,36,15,18,4.5
17,Justin Madubuike,36,13,21,2.0
