,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
15,Jaydon Mickens,2,10,0,0,0,12,1,50.0,0,3,3
16,Stanley Morgan,2,11,0,0,0,8,0,0.0,0,20,4
17,Dazz Newsome,2,23,0,0,0,13,1,50.0,0,15,5
18,Gunner Olszewski,2,31,0,1,0,22,2,100.0,0,14,3
19,Dezmon Patmon,2,21,1,0,0,14,1,50.0,0,3,4
20,Scottie Phillips,2,9,0,0,0,8,0,0.0,0,7,3
21,Kevin Rader,2,8,0,0,0,7,0,0.0,0,4,3
22,Trey Ragas,2,6,0,0,0,4,0,0.0,0,13,2
23,Richard Rodgers,2,11,0,0,0,9,0,0.0,0,10,2
24,C.J. Saunders,2,11,0,0,0,8,1,50.0,0,0,2
0,David Sills,2,17,0,0,0,12,1,50.0,0,2,6
1,Benny Snell,2,13,0,0,0,7,0,0.0,0,20,4
2,Johnny Stanton,2,7,1,0,0,6,1,50.0,0,4,2
3,Luke Stocker,2,12,0,0,0,7,0,0.0,0,6,2
4,Mike Strachan,2,26,0,0,0,16,2,100.0,0,0,3
5,Malik Taylor,2,14,0,0,0,7,1,50.0,0,8,3
6,Patrick Taylor,2,3,0,0,0,3,1,50.0,0,5,2
7,Trent Taylor,2,41,0,1,0,26,2,100.0,0,7,4
8,Tylan Wallace,2,23,0,0,0,18,1,50.0,0,14,6
9,Austin Walter,2,9,0,0,0,11,1,50.0,0,13,3
10,Dwayne Washington,2,12,0,0,0,6,0,0.0,0,10,2
11,Tyrell Williams,2,14,0,0,0,7,1,50.0,0,8,3
12,Ethan Wolf,2,8,0,0,0,4,0,0.0,0,6,2
13,Kenny Yeboah,2,36,0,1,0,24,2,100.0,0,3,3
14,Alex Armah,1,1,1,0,0,1,1,100.0,0,1,1
15,Nick Bawden,1,20,0,1,0,20,1,100.0,0,11,1
16,Nick Bellore,1,4,0,0,0,4,0,0.0,0,4,1
17,Tarik Black,1,10,0,0,0,10,1,100.0,0,0,2
18,Miles Boykin,1,6,0,0,0,6,0,0.0,0,0,1
19,Nick Boyle,1,2,0,0,0,2,0,0.0,0,0,2
20,Garrett Bradbury,1,21,0,1,0,21,1,100.0,0,24,1
21,Gary Brightwell,1,6,0,0,0,6,0,0.0,0,5,1
22,Keke Coutee,1,5,0,0,0,5,0,0.0,0,0,1
