,concat_index,Player,Comb,Asst,Solo,Sck,season_year
386,11,Roy Robertson-Harris,37,16,17,3.0,2021
387,12,Duke Shelley,37,7,29,0.0,2021
388,13,Darrell Taylor,37,9,22,6.5,2021
389,14,Oren Burks,36,12,20,0.5,2021
390,15,Dante Fowler Jr.,36,15,16,4.5,2021
391,16,William Gholston,36,15,18,4.5,2021
392,17,Justin Madubuike,36,13,21,2.0,2021
393,18,Osa Odighizuwa,36,15,15,2.0,2021
394,19,Monty Rice,36,19,10,0.0,2021
395,20,Dawuane Smoot,36,14,20,6.0,2021
396,21,Justin Strnad,36,13,21,0.0,2021
397,22,Fletcher Cox,35,10,17,3.5,2021
398,23,Carlos Dunlap,35,11,19,8.5,2021
399,24,John Franklin-Myers,35,18,14,6.0,2021
400,0,Richie Grant,35,7,23,0.0,2021
401,1,A.J. Klein,35,6,22,0.0,2021
402,2,Dallin Leavitt,35,18,15,0.0,2021
403,3,Blake Lynch,35,12,21,2.0,2021
404,4,Bryan Mone,35,20,13,1.5,2021
405,5,Levi Onwuzurike,35,20,11,1.0,2021
406,6,Tavon Young,35,5,29,2.0,2021
407,7,Mykal Walker,35,18,14,0.0,2021
408,8,Brandon Williams,35,20,12,0.0,2021
409,9,Julian Blackmon,34,7,27,0.0,2021
410,10,Morgan Fox,34,18,14,1.5,2021
411,11,Trey Hendrickson,34,13,21,14.0,2021
412,12,Justin Houston,34,15,16,4.5,2021
413,13,Chris Jackson,34,5,25,0.0,2021
414,14,Jerry Jacobs,34,4,27,0.0,2021
415,15,David Onyemata,34,22,10,2.0,2021
416,16,Shamar Stephen,34,22,10,0.0,2021
417,17,Solomon Thomas,34,17,15,3.5,2021
418,18,Jonathan Greenard,33,10,21,8.0,2021
419,19,Kerry Hyder,33,13,16,1.5,2021
420,20,Malik McDowell,33,14,15,3.0,2021
421,21,Adetokunbo Ogundeji,33,15,17,1.0,2021
422,22,Odafe Oweh,33,10,18,5.0,2021
423,23,Mike Purcell,33,16,13,0.0,2021
424,24,Vita Vea,33,11,20,4.0,2021
425,0,Chauncey Golston,32,18,12,1.0,2021
426,1,Vernon Hargreaves III,32,11,18,0.0,2021
427,2,Talanoa Hufanga,32,8,20,0.0,2021
428,3,A.J. Johnson,32,12,18,2.0,2021
429,4,Kwity Paye,32,16,12,4.0,2021
430,5,Sheldon Rankins,32,18,12,3.0,2021
431,6,Jihad Ward,32,22,10,2.0,2021
432,7,Carlos Watkins,32,15,14,1.0,2021
433,8,Denico Autry,31,6,24,9.0,2021
434,9,Austin Bryant,31,10,18,4.5,2021
435,10,K'Lavon Chaisson,31,11,18,1.0,2021
436,11,Dre'Mont Jones,31,13,17,5.5,2021
437,12,Tyler Lancaster,31,16,10,0.0,2021
438,13,Kenneth Murray,31,14,14,0.0,2021
439,14,Del'Shawn Phillips,31,20,11,1.0,2021
440,15,Jason Pierre-Paul,31,11,19,2.5,2021
441,16,Danny Shelton,31,19,11,0.5,2021
442,17,E.J. Speed,31,8,20,0.0,2021
443,18,Chandon Sullivan,31,6,21,0.0,2021
444,19,DeMarcus Walker,31,10,17,2.0,2021
445,20,Rock Ya-Sin,31,4,25,0.0,2021
446,21,Joe Bachie,30,12,16,0.0,2021
447,22,Zack Baun,30,8,22,0.0,2021
448,23,Jamie Collins,30,12,15,1.0,2021
449,24,Tyeler Davison,30,20,8,0.0,2021
450,0,Dontae Johnson,30,10,18,0.0,2021
451,1,Roy Lopez,30,10,18,1.0,2021
452,2,James Lynch,30,12,15,1.0,2021
453,3,Benson Mayowa,30,15,10,1.0,2021
454,4,Shaquille Quarterman,30,14,14,0.0,2021
455,5,Bravvion Roy,30,17,6,0.0,2021
456,6,James Smith-Williams,30,19,9,2.5,2021
457,7,Milton Williams,30,15,13,2.0,2021
458,8,Mario Addison,29,9,17,7.0,2021
459,9,Bryce Callahan,29,4,24,1.0,2021
460,10,Chris Claybrooks,29,12,16,0.0,2021
461,11,Maliek Collins,29,11,15,2.5,2021
462,12,Donte' Deayon,29,5,20,0.0,2021
463,13,Demetrius Flannigan-Fowles,29,16,12,0.0,2021
464,14,Darnay Holmes,29,8,18,0.0,2021
465,15,Naquan Jones,29,11,12,2.5,2021
466,16,Kevin King,29,8,21,0.0,2021
467,17,Nevin Lawson,29,8,17,0.0,2021
468,18,Benardrick McKinney,29,12,11,0.0,2021
469,19,Jabrill Peppers,29,10,19,1.0,2021
470,20,Jeremy Reaves,29,9,17,0.0,2021
471,21,Joe Tryon-Shoyinka,29,8,18,4.0,2021
472,22,Tershawn Wharton,29,16,12,2.0,2021
473,23,Donovan Wilson,29,12,17,0.0,2021
474,24,A.J. Bouye,28,5,21,0.0,2021
475,0,Camryn Bynum,28,8,20,1.0,2021
476,1,Raekwon Davis,28,16,10,0.5,2021
477,2,Akeem Davis-Gaither,28,7,19,0.0,2021
478,3,Pierre Desir,28,2,24,0.0,2021
479,4,Yetur Gross-Matos,28,10,15,3.5,2021
480,5,David Mayo,28,8,19,0.0,2021
481,6,Yannick Ngakoue,28,11,14,10.0,2021
482,7,Nathan Shepherd,28,11,12,0.0,2021
483,8,Caden Sterns,28,6,22,2.0,2021
484,9,Josh Woods,28,7,17,0.0,2021
485,10,Ronald Blair,27,15,7,1.0,2021
486,11,Justin Coleman,27,7,19,0.0,2021
487,12,Michael Dogbe,27,13,12,1.0,2021
488,13,Adam Gotsis,27,7,19,3.0,2021
489,14,Darren Hall,27,6,21,1.0,2021
490,15,Clay Johnston,27,14,12,0.0,2021
491,16,Chris Jones,27,9,17,9.0,2021
492,17,Julian Okwara,27,9,15,5.0,2021
