,concat_index,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,season_year
298,18,Raheem Mostert,20.1,25,502,0,14,0,31,0,0,2022
299,19,Marlon Mack,20.0,1,20,0,1,0,20,0,0,2022
300,20,Dax Milne,20.0,15,300,0,6,0,33,0,0,2022
301,21,Greg Dortch,19.8,11,218,0,5,0,31,0,0,2022
302,22,Avery Williams,19.6,16,313,0,8,0,30,0,0,2022
303,23,Romeo Doubs,19.5,2,39,0,1,0,21,0,0,2022
304,24,DJ Turner,19.5,4,78,0,2,0,22,0,0,2022
305,0,Chris Claybrooks,19.2,4,77,0,2,0,22,0,0,2022
306,1,DeAndre Carter,19.1,26,497,0,10,0,33,0,1,2022
307,2,Jonathan Williams,19.0,1,19,0,0,0,19,0,0,2022
308,3,Brandon Zylstra,19.0,1,19,0,0,0,19,0,0,2022
309,4,Montrell Washington,18.9,18,340,0,8,0,29,0,1,2022
310,5,Peyton Hendershot,18.0,1,18,0,0,0,18,0,1,2022
311,6,Bam Knight,18.0,1,18,0,0,0,18,0,0,2022
312,7,Andre Roberts,17.5,2,35,0,0,0,18,0,0,2022
313,8,Christian Watson,17.5,2,35,0,0,0,18,0,0,2022
314,9,Dwayne Washington,17.2,4,69,0,1,0,24,0,0,2022
315,10,Jamison Crowder,17.0,1,17,0,0,0,17,0,0,2022
316,11,Ihmir Smith-Marsette,17.0,1,17,0,0,0,17,0,0,2022
317,12,Skyy Moore,16.7,3,50,0,1,0,23,0,0,2022
318,13,Trenton Cannon,16.5,2,33,0,0,0,19,0,0,2022
319,14,Jonnu Smith,15.5,2,31,0,0,0,16,0,0,2022
320,15,Gunner Olszewski,15.3,3,46,0,1,0,27,0,0,2022
321,16,Kylen Granson,15.0,1,15,0,0,0,15,0,0,2022
322,17,Jakob Johnson,15.0,1,15,0,0,0,15,0,0,2022
323,18,Nikola Kalinic,15.0,1,15,0,0,0,15,0,0,2022
324,19,Joshua Kelley,15.0,1,15,0,0,0,15,0,0,2022
325,20,Patrick Ricard,15.0,1,15,0,0,0,15,0,0,2022
326,21,Michael Burton,14.5,2,29,0,1,0,20,0,0,2022
327,22,Devin Asiasi,14.0,1,14,0,0,0,14,0,0,2022
328,23,Giovani Bernard,14.0,1,14,0,0,0,14,0,0,2022
329,24,Nick Boyle,14.0,1,14,0,0,0,14,0,0,2022
330,0,Durham Smythe,13.5,2,27,0,0,0,18,0,0,2022
331,1,Ty Johnson,13.0,3,39,0,0,0,19,0,0,2022
332,2,Keith Smith,12.3,3,37,0,0,0,16,0,0,2022
