,concat_index,Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,season_year
324,24,Jaylen Waddle,3,2,1,0,0,2,1,50.0,0,2021
325,0,Quez Watkins,3,1,0,0,0,3,0,0.0,0,2021
326,1,C.J. Beathard,2,1,0,0,0,2,0,0.0,0,2021
327,2,Ryan Fitzpatrick,2,1,0,0,0,2,0,0.0,0,2021
328,3,Nathan Peterman,2,2,0,0,0,1,1,50.0,0,2021
329,4,Adam Thielen,2,1,0,0,0,2,0,0.0,0,2021
330,5,Olamide Zaccheaus,2,1,0,0,0,2,1,100.0,0,2021
331,6,Randall Cobb,1,1,0,0,0,1,0,0.0,0,2021
332,7,Eric Ebron,1,1,1,0,0,1,1,100.0,0,2021
333,8,Alec Ingold,1,2,0,0,0,1,1,50.0,0,2021
334,9,Dax Milne,1,1,0,0,0,1,0,0.0,0,2021
335,10,David Njoku,1,1,0,0,0,1,0,0.0,0,2021
336,11,Michael Palardy,1,1,0,0,0,1,0,0.0,0,2021
337,12,Kenny Stills,1,1,0,0,0,1,0,0.0,0,2021
338,13,Derek Watt,1,1,0,0,0,1,1,100.0,0,2021
339,14,Mark Andrews,0,1,0,0,0,0,0,0.0,0,2021
340,15,Jake Bailey,0,0,0,0,0,0,0,0.0,0,2021
341,16,Kenjon Barner,0,4,0,0,0,1,0,0.0,0,2021
342,17,Phillip Dorsett,0,1,0,0,0,0,0,0.0,0,2021
343,18,Bryan Edwards,0,1,0,0,0,0,0,0.0,0,2021
344,19,Clayton Fejedelem,0,1,0,0,0,0,0,0.0,1,2021
345,20,Jamie Gillan,0,1,0,0,0,0,0,0.0,1,2021
346,21,Johnny Hekker,0,1,0,0,0,0,0,0.0,1,2021
347,22,Chad Henne,0,8,0,0,0,4,0,0.0,2,2021
348,23,Andy Janovich,0,2,1,0,0,1,1,50.0,0,2021
349,24,Cole Kmet,0,1,0,0,0,0,0,0.0,0,2021
350,0,Andy Lee,0,1,0,0,0,0,0,0.0,1,2021
351,1,Brandon Allen,-1,7,0,0,0,3,1,14.3,1,2021
352,2,Kurt Benkert,-1,2,0,0,0,0,0,0.0,0,2021
353,3,Marquise Goodwin,-1,2,0,0,0,1,0,0.0,0,2021
354,4,Nate McCrary,-1,1,0,0,0,-1,0,0.0,0,2021
355,5,Jeff Smith,-1,1,0,0,0,-1,0,0.0,0,2021
356,6,Mike White,-1,5,0,0,0,2,2,40.0,0,2021
357,7,John Wolford,-1,2,0,0,0,0,0,0.0,0,2021
358,8,Chase Daniel,-2,2,0,0,0,-1,0,0.0,0,2021
359,9,Marcus Johnson,-2,2,0,0,0,5,1,50.0,0,2021
360,10,Alex Bachman,-3,1,0,0,0,-3,0,0.0,0,2021
361,11,Evan Engram,-3,1,0,0,0,-3,0,0.0,0,2021
362,12,Devine Ozigbo,-3,1,0,0,0,-3,0,0.0,0,2021
363,13,Breshad Perriman,-3,1,0,0,0,-3,0,0.0,0,2021
364,14,Shi Smith,-3,1,0,0,0,-3,0,0.0,0,2021
365,15,Davis Webb,-3,2,0,0,0,-1,0,0.0,0,2021
366,16,Dyami Brown,-4,1,0,0,0,-4,0,0.0,0,2021
367,17,Logan Woodside,-6,6,0,0,0,-1,0,0.0,0,2021
368,18,Blaine Gabbert,-7,9,0,0,0,0,0,0.0,0,2021
369,19,Brian Hoyer,-8,11,0,0,0,2,1,9.1,0,2021
370,20,Cooper Rush,-8,9,0,0,0,2,0,0.0,0,2021
371,21,Sterling Shepard,-9,1,0,0,0,-9,0,0.0,0,2021
372,22,Darius Slayton,-13,1,0,0,0,-13,0,0.0,0,2021
373,0,Josh Jacobs,1653,340,12,7,2,86,93,27.4,2,2022
374,1,Derrick Henry,1538,349,13,10,4,56,65,18.6,4,2022
375,2,Nick Chubb,1525,302,12,13,1,41,69,22.8,1,2022
376,3,Saquon Barkley,1312,295,10,9,2,68,62,21.0,1,2022
377,4,Miles Sanders,1269,259,11,9,1,40,62,23.9,1,2022
378,5,Dalvin Cook,1173,264,8,5,3,81,50,18.9,3,2022
379,6,Justin Fields,1143,160,8,10,4,67,65,40.6,8,2022
380,7,Christian McCaffrey,1139,244,8,9,1,49,59,24.2,1,2022
381,8,Travis Etienne,1125,220,5,8,4,62,52,23.6,3,2022
382,9,Aaron Jones,1121,213,2,6,0,36,54,25.4,3,2022
