,concat_index,Player,INT,INT TD,INT Yds,Lng,season_year
402,8,Taron Johnson,1,0,2,2,2022
403,9,Deion Jones,1,0,5,5,2022
404,10,Ernest Jones,1,0,0,0,2022
405,11,Sebastian Joseph-Day,1,0,4,4,2022
406,12,Joshua Kalu,1,0,0,0,2022
407,13,Jayron Kearse,1,0,2,2,2022
408,14,Kader Kohou,1,0,0,0,2022
409,15,Marshon Lattimore,1,1,12,12,2022
410,16,Deommodore Lenoir,1,0,8,8,2022
411,17,Shaquille Leonard,1,0,15,15,2022
412,18,Jourdan Lewis,1,0,0,0,2022
413,19,Terrell Lewis,1,0,0,0,2022
414,20,Frankie Luvu,1,1,33,33,2022
415,21,Avonte Maddox,1,0,2,2,2022
416,22,Arthur Maulet,1,0,12,12,2022
417,23,Roger McCreary,1,0,4,4,2022
418,24,Verone McKinley III,1,0,17,17,2022
419,0,Josh Metellus,1,0,0,0,2022
420,1,Terrance Mitchell,1,0,1,1,2022
421,2,Nicholas Morrow,1,0,5,5,2022
422,3,Emmanuel Moseley,1,1,41,41,2022
423,4,C.J. Mosley,1,0,0,0,2022
424,5,Israel Mukuamu,1,0,0,0,2022
425,6,Kenneth Murray,1,0,16,16,2022
426,7,Keanu Neal,1,0,0,0,2022
427,8,Ryan Neal,1,0,13,13,2022
428,9,Steven Nelson,1,0,33,33,2022
429,10,Keisean Nixon,1,0,1,1,2022
430,11,George Odum,1,0,25,25,2022
431,12,Jeff Okudah,1,1,20,20,2022
432,13,Isaiah Oliver,1,0,27,27,2022
433,14,Marcus Peters,1,0,8,8,2022
434,15,James Pierre,1,0,0,0,2022
435,16,Jason Pierre-Paul,1,0,3,3,2022
436,17,D.J. Reed,1,0,0,0,2022
437,18,Bravvion Roy,1,0,3,3,2022
438,19,Logan Ryan,1,0,0,0,2022
439,20,Darnell Savage,1,1,75,75,2022
440,21,Duke Shelley,1,0,0,0,2022
441,22,Derek Stingley Jr.,1,0,9,9,2022
442,23,Greg Stroman,1,0,10,10,2022
443,24,Josh Sweat,1,1,42,42,2022
444,0,Teair Tart,1,0,0,0,2022
445,1,Jalen Thompson,1,0,0,0,2022
446,2,Drue Tranquill,1,0,20,20,2022
447,3,Andrew Van Ginkel,1,0,23,23,2022
448,4,Kindle Vildor,1,0,18,18,2022
449,5,Travon Walker,1,0,9,9,2022
450,6,Charvarius Ward,1,0,9,9,2022
451,7,Fred Warner,1,0,20,20,2022
452,8,Jaylen Watson,1,1,99,99,2022
453,9,Tre'Davious White,1,0,0,0,2022
454,10,Donovan Wilson,1,0,0,0,2022
455,11,Joshua Williams,1,0,7,7,2022
456,12,K'Waun Williams,1,0,0,0,2022
457,13,Rodarius Williams,1,0,1,1,2022
458,14,Logan Wilson,1,0,41,41,2022
459,15,Antoine Winfield Jr.,1,0,15,15,2022
460,16,Andrew Wingard,1,0,13,13,2022
461,17,Ahkello Witherspoon,1,0,0,0,2022
462,18,Samuel Womack,1,0,0,0,2022
463,19,Nahshon Wright,1,0,0,0,2022
464,20,,0,0,0,0,2022
